id,comment,sentiment,model,video_id,reviewed
1,Nhà máy làm thêm cốp trước thì tốt hơn,neutral,VF3,xzVrqva0KOM,True
2,VF5 cần thay đèn hậu có sáng đèn đỏ mà ko cần phanh khi đi buổi tối. Sẽ hữu ích cho xe sau bám đuôi hoặc tránh xe khi đi cao tốc.,neutral,VF3,xzVrqva0KOM,True
3,Con này nhìn đẹp ổn dễ độ chỉ mong thế hệ sau nâng cấp sạc AC nữa thì ngon luôn mình lười đi sạc chỉ muốn sạc ở nhà nên mình thấy hơi bất tiện,neutral,VF3,xzVrqva0KOM,True
4,"Mỗi oto điện của Vin nên bán hoặc tặng cho khách một xe điện vali để khi đậu sạc có thể di chuyển đi ăn, uống ca phe ... xa chổ sạc chút.",neutral,VF3,xzVrqva0KOM,True
5,"Quá ngon so tầm giá, nhớ trc kia mua con SH ngoại cũng hơn 200củ vkl, hút máu dân Việt bao năm. Tính ra vàng giờ mua dc vf7😂",positive,VF3,xzVrqva0KOM,True
6,Ơ đời có  ai bán  hàng  lỗi  ko nhỉ,neutral,VF3,xzVrqva0KOM,True
7,cho e hỏi như xe màu vàng kia thì lưu thông bình thường có bị CA thổi vì dán decal đổi màu như vậy ko ạ,neutral,VF3,xzVrqva0KOM,True
8,"Vin bán cái xe này nên mở thêm 1 lớp hướng dẫn dùng xe cho khách hàng trước khi xuống tiền. Kiểu như đi mưa trượt bánh thì phải làm sao, khi đạp thắng mà xe nó quay vòng thì phải làm sao. Lật xe thì phải làm sao...",negative,VF3,xzVrqva0KOM,True
9,Xem từ những ngày đầu nhưng vẫn chưa biết công việc chính của Xế Cộng là gì .,neutral,VF3,xzVrqva0KOM,True
10,"O2O ở tỉnh nào cũng được hả bạn, hay chỉ HN thôi",neutral,VF3,xzVrqva0KOM,True
11,Mún đặt xe o2o thì nhắn cho anh hay sao ạ,neutral,VF3,xzVrqva0KOM,True
12,Điều hòa có chỉnh dc ko😅,neutral,VF3,xzVrqva0KOM,True
13,có xe sẵn giao liền k ạ?,neutral,VF3,xzVrqva0KOM,True
14,"vf3 đi đô thị ngon rồi , ko tốn xăng nuôi xe nhàn ko",positive,VF3,xzVrqva0KOM,True
15,mua để được tiếng yêu nước,negative,VF3,xzVrqva0KOM,True
16,"xe này tính là 2 hàng hay 1 hàng ạ, nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ?",neutral,VF3,xzVrqva0KOM,True
17,Macaron 260 triệu có làm khó được VF3?,neutral,VF3,xzVrqva0KOM,True
18,Trên 50% diện tích vẫn là màu trong đăng ký là oki,neutral,VF3,xzVrqva0KOM,True
19,toyota nên dạy khách nên lái xe thế nào để tránh đâm đụng vì xe của hãng toàn thùng tôn di động đụng là nghẻo luôn,neutral,VF3,xzVrqva0KOM,True
20,toàn daihatsu nhái toy thôi,neutral,VF3,xzVrqva0KOM,True
21,Thế toyota đã mở lớp hướng dẫn làm thế nào khi không bung túi khí chưa? 😏,neutral,VF3,xzVrqva0KOM,True
22,Cay view kiếm tiền youtube bro,neutral,VF3,xzVrqva0KOM,True
23,Chương trình áp dụng trên toàn quốc bác nhé!,neutral,VF3,xzVrqva0KOM,True
24,Vào nhóm rồi cần gì báo anh em hỗ trợ b nhé,neutral,VF3,xzVrqva0KOM,True
25,"Đúng rồi bác, đi phố con này cực tiện và tiết kiệm ạ!",positive,VF3,xzVrqva0KOM,True
26,Chả ai nói thế ngoài mấy thằng anti.,positive,VF3,xzVrqva0KOM,True
27,"Mua thứ nhất để phục vụ bản thân, thứ 2 là thương hiệu Việt. Nên bảo yêu nước là ko sai, tiền vẫn nằm ở Việt Nam tái đầu tư còn hơn lời hứa 30 năm nhé",positive,VF3,xzVrqva0KOM,True
28,Sau 1/7 k đc b nhé,neutral,VF3,xzVrqva0KOM,True
29,"vậy thì hơi bất tiện cho mẹ rồi ạ, hàng sau có lắp được ghế an toàn không ạ",neutral,VF3,xzVrqva0KOM,True
30,"bạn chọn loại ghế an toàn mà chỉ dùng dây an toàn ấy, vì xe ko có ixofit nên nếu bn lỡ mua loại ghế e bé có trang bị ixofit rồi thì phải mua thêm 1 thanh hỗ trợ gắn ixofit cho ghế sau. Nếu bé nhà bạn dưới 18 tháng thì sẽ hơi bất tiện thật vì ghế trẻ e sẽ phải quay ngược để bé dc nằm, và khi đó chỉ lắp dc phía sau ghế phụ thôi nên mẹ bé sẽ phải ngồi sau ghế tài sẽ hơi chật 1 chút. Còn nếu bé trên 18 tháng có thể ngồi thuận chiều rồi thì thoải mái bạn ơi.",neutral,VF3,xzVrqva0KOM,True
31,Ko. 2 tệp khách khác xa nhau lắm b,neutral,VF3,xzVrqva0KOM,True
