comment,sentiment,model,video_id,reviewed
Nhà máy làm thêm cốp trước thì tốt hơn,,VF3,xzVrqva0KOM,false
VF5 cần thay đèn hậu có sáng đèn đỏ mà ko cần phanh khi đi buổi tối. Sẽ hữu ích cho xe sau bám đuôi hoặc tránh xe khi đi cao tốc.,,VF3,xzVrqva0KOM,false
Con này nhìn đẹp ổn dễ độ chỉ mong thế hệ sau nâng cấp sạc AC nữa thì ngon luôn mình lười đi sạc chỉ muốn sạc ở nhà nên mình thấy hơi bất tiện,,VF3,xzVrqva0KOM,false
"Mỗi oto điện của Vin nên bán hoặc tặng cho khách một xe điện vali để khi đậu sạc có thể di chuyển đi ăn, uống ca phe ... xa chổ sạc chút.",,VF3,xzVrqva0KOM,false
"Quá ngon so tầm giá, nhớ trc kia mua con SH ngoại cũng hơn 200củ vkl, hút máu dân Việt bao năm. Tính ra vàng giờ mua dc vf7😂",,VF3,xzVrqva0KOM,false
Ơ đời có  ai bán  hàng  lỗi  ko nhỉ,,VF3,xzVrqva0KOM,false
cho e hỏi như xe màu vàng kia thì lưu thông bình thường có bị CA thổi vì dán decal đổi màu như vậy ko ạ,,VF3,xzVrqva0KOM,false
"Vin bán cái xe này nên mở thêm 1 lớp hướng dẫn dùng xe cho khách hàng trước khi xuống tiền. Kiểu như đi mưa trượt bánh thì phải làm sao, khi đạp thắng mà xe nó quay vòng thì phải làm sao. Lật xe thì phải làm sao...",,VF3,xzVrqva0KOM,false
Xem từ những ngày đầu nhưng vẫn chưa biết công việc chính của Xế Cộng là gì .,,VF3,xzVrqva0KOM,false
"O2O ở tỉnh nào cũng được hả bạn, hay chỉ HN thôi",,VF3,xzVrqva0KOM,false
Mún đặt xe o2o thì nhắn cho anh hay sao ạ,,VF3,xzVrqva0KOM,false
Điều hòa có chỉnh dc ko😅,,VF3,xzVrqva0KOM,false
có xe sẵn giao liền k ạ?,,VF3,xzVrqva0KOM,false
"Vinfast, if you are reading this, bring this to the US, you guys can't compete in the price bracket of $30K-$60K of Tesla, never will, but if you sell this at $15,000 or less you have a winner here, THERE IS NO COMPETION,  We need a cheap car with 120 mile range to run around town, and still use ICE cars to go out of town.  Toi la nguoi Viet, neu ma Vinfast khong ban' trong tuong lai se co xe re tien nhu vay tu China, hay lam di, believe me :)",,VF3,xzVrqva0KOM,false
"vf3 đi đô thị ngon rồi , ko tốn xăng nuôi xe nhàn ko",,VF3,xzVrqva0KOM,false
mua để được tiếng yêu nước,,VF3,xzVrqva0KOM,false
"xe này tính là 2 hàng hay 1 hàng ạ, nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ?",,VF3,xzVrqva0KOM,false
Macaron 260 triệu có làm khó được VF3?,,VF3,xzVrqva0KOM,false
Trên 50% diện tích vẫn là màu trong đăng ký là oki,,VF3,xzVrqva0KOM,false
toyota nên dạy khách nên lái xe thế nào để tránh đâm đụng vì xe của hãng toàn thùng tôn di động đụng là nghẻo luôn,,VF3,xzVrqva0KOM,false
@HoSoDen-u6g toàn daihatsu nhái toy thôi,,VF3,xzVrqva0KOM,false
Thế toyota đã mở lớp hướng dẫn làm thế nào khi không bung túi khí chưa? 😏,,VF3,xzVrqva0KOM,false
Cay view kiếm tiền youtube bro,,VF3,xzVrqva0KOM,false
Chương trình áp dụng trên toàn quốc bác nhé!,,VF3,xzVrqva0KOM,false
Vào nhóm rồi cần gì báo anh em hỗ trợ b nhé,,VF3,xzVrqva0KOM,false
"Đúng rồi bác, đi phố con này cực tiện và tiết kiệm ạ!",,VF3,xzVrqva0KOM,false
Chả ai nói thế ngoài mấy thằng anti.,,VF3,xzVrqva0KOM,false
"Mua thứ nhất để phục vụ bản thân, thứ 2 là thương hiệu Việt. Nên bảo yêu nước là ko sai, tiền vẫn nằm ở Việt Nam tái đầu tư còn hơn lời hứa 30 năm nhé",,VF3,xzVrqva0KOM,false
Sau 1/7 k đc b nhé,,VF3,xzVrqva0KOM,false
"@XẾCỘNG vậy thì hơi bất tiện cho mẹ rồi ạ, hàng sau có lắp được ghế an toàn không ạ",,VF3,xzVrqva0KOM,false
"​ @kt0128 bạn chọn loại ghế an toàn mà chỉ dùng dây an toàn ấy, vì xe ko có ixofit nên nếu bn lỡ mua loại ghế e bé có trang bị ixofit rồi thì phải mua thêm 1 thanh hỗ trợ gắn ixofit cho ghế sau. Nếu bé nhà bạn dưới 18 tháng thì sẽ hơi bất tiện thật vì ghế trẻ e sẽ phải quay ngược để bé dc nằm, và khi đó chỉ lắp dc phía sau ghế phụ thôi nên mẹ bé sẽ phải ngồi sau ghế tài sẽ hơi chật 1 chút. Còn nếu bé trên 18 tháng có thể ngồi thuận chiều rồi thì thoải mái bạn ơi.",,VF3,xzVrqva0KOM,false
Ko. 2 tệp khách khác xa nhau lắm b,,VF3,xzVrqva0KOM,false
Xe dành cho bkc,,VF3,xzVrqva0KOM,false
"VF5 hơn hẳn vf3 vì khung gầm, động cơ, pin và kích thước. Option có thể cắt bớt nhưng cốt lõi vẫn hơn nhiều vf3. Phù hợp chạy dịch vụ và đi cá nhân, gia đình ít ng. Rất ok 👍",,VF3,xzVrqva0KOM,false
nhiều anh em tài xế trong nước đăng FB tiktok khuyên đừng mua VF để khỏi mât tiền oan mà vẫn có người đâm đầu vô... hài vãi,,VF3,xzVrqva0KOM,false
"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về tc😂",,VF3,xzVrqva0KOM,false
Mình làm nghề xe ở Mỹ.Mình không biết tại sao Vinfast không đem VF3 sang Mỹ nhất là Cali vì mẫu xe này sẽ phù hợp thị hiếu dân Mỹ vì họ cũng thích chế độ xe.Nó giống xe Jeep Mỹ,,VF3,xzVrqva0KOM,false
mấy ae tiên phong vỡ mòm =)))))))))))))) vừa bị chém vừa lỗi,,VF3,xzVrqva0KOM,false
"Cảm ơn b nói điều ai cũng biết , vì nó đắt hơn gần 200 chai thì chả vậy",,VF3,xzVrqva0KOM,false
Nói gì mà điều ai cũng biết vậy bác,,VF3,xzVrqva0KOM,false
